,County,Percent_Households_Below_Poverty_Level,Median_Age,Homeowner_Vacancy_Rate,Percent_Pop_25_And_Over_With_College_Or_Higher_Educ
950,"Montgomery, Kansas",17.5,40.3,3.3,19.5
951,"Morris, Kansas",10.1,46.6,3.0,21.4
952,"Morton, Kansas",14.8,40.5,7.4,17.3
953,"Nemaha, Kansas",7.8,39.9,1.4,25.4
954,"Neosho, Kansas",18.1,40.2,2.3,18.1
955,"Ness, Kansas",10.4,50.0,1.8,19.4
956,"Norton, Kansas",12.6,42.7,4.7,18.8
957,"Osage, Kansas",14.9,43.8,1.6,19.2
958,"Osborne, Kansas",16.3,46.7,1.0,23.6
959,"Ottawa, Kansas",8.4,43.0,2.0,24.5
960,"Pawnee, Kansas",8.2,43.0,8.0,19.6
961,"Phillips, Kansas",8.8,44.3,1.3,21.8
962,"Pottawatomie, Kansas",9.4,35.4,2.5,33.8
963,"Pratt, Kansas",10.8,38.5,0.7,30.3
964,"Rawlins, Kansas",13.0,48.8,2.3,24.1
965,"Reno, Kansas",13.5,40.3,2.0,20.9
966,"Republic, Kansas",12.6,50.7,2.0,25.5
967,"Rice, Kansas",12.3,38.9,2.9,22.8
968,"Riley, Kansas",19.6,25.1,2.4,45.6
969,"Rooks, Kansas",9.8,44.7,4.3,23.1
970,"Rush, Kansas",11.0,46.6,2.2,23.7
971,"Russell, Kansas",11.9,49.1,1.1,23.1
972,"Saline, Kansas",12.6,38.6,3.3,27.3
973,"Scott, Kansas",8.3,39.7,0.0,25.1
974,"Sedgwick, Kansas",13.5,35.4,1.5,30.9
975,"Seward, Kansas",16.2,29.4,1.3,11.0
976,"Shawnee, Kansas",11.4,39.1,1.3,30.9
977,"Sheridan, Kansas",8.0,44.9,0.2,22.0
978,"Sherman, Kansas",9.9,39.3,0.0,21.8
979,"Smith, Kansas",10.6,51.4,2.1,22.3
980,"Stafford, Kansas",12.0,44.1,1.8,25.2
981,"Stanton, Kansas",13.8,35.3,0.0,19.0
982,"Stevens, Kansas",21.2,35.1,0.2,13.7
983,"Sumner, Kansas",13.3,41.2,1.2,23.3
984,"Thomas, Kansas",17.3,36.0,3.0,22.6
985,"Trego, Kansas",6.9,49.4,3.4,24.8
986,"Wabaunsee, Kansas",5.2,43.8,2.8,24.2
987,"Wallace, Kansas",9.1,41.8,3.6,32.4
988,"Washington, Kansas",11.5,45.4,1.6,20.3
989,"Wichita, Kansas",4.7,42.3,3.8,20.6
990,"Wilson, Kansas",16.4,43.7,2.7,16.5
991,"Woodson, Kansas",18.7,47.4,1.2,17.2
992,"Wyandotte, Kansas",18.4,33.7,1.4,18.1
993,"Adair, Kentucky",21.4,41.8,1.7,15.7
994,"Allen, Kentucky",19.9,40.7,4.0,16.1
995,"Anderson, Kentucky",13.9,41.4,0.3,20.2
996,"Ballard, Kentucky",15.0,43.6,2.1,15.9
997,"Barren, Kentucky",20.0,40.5,1.1,16.3
998,"Bath, Kentucky",20.5,40.6,0.8,14.5
999,"Bell, Kentucky",34.0,41.7,3.3,9.2
1000,"Boone, Kentucky",7.1,37.5,0.8,32.1
1001,"Bourbon, Kentucky",14.2,41.8,1.1,19.4
1002,"Boyd, Kentucky",19.0,42.3,3.7,19.4
1003,"Boyle, Kentucky",16.1,40.3,1.5,25.2
1004,"Bracken, Kentucky",18.9,41.4,1.7,13.2
1005,"Breathitt, Kentucky",35.0,42.2,1.4,15.2
1006,"Breckinridge, Kentucky",18.3,43.1,2.0,11.9
1007,"Bullitt, Kentucky",9.3,40.4,1.3,14.7
1008,"Butler, Kentucky",18.5,41.3,0.2,13.9
1009,"Caldwell, Kentucky",16.8,44.0,1.7,15.3
1010,"Calloway, Kentucky",22.5,35.6,1.7,28.5
1011,"Campbell, Kentucky",13.3,38.2,1.6,36.3
1012,"Carlisle, Kentucky",15.9,42.8,0.3,14.9
1013,"Carroll, Kentucky",19.2,38.5,2.0,8.2
1014,"Carter, Kentucky",27.2,41.6,1.3,12.6
1015,"Casey, Kentucky",24.7,42.6,0.2,12.8
1016,"Christian, Kentucky",19.2,28.3,1.2,18.1
1017,"Clark, Kentucky",14.4,42.3,2.8,20.1
1018,"Clay, Kentucky",38.4,39.6,1.5,9.8
1019,"Clinton, Kentucky",24.9,41.9,1.8,10.3
1020,"Crittenden, Kentucky",15.3,43.6,0.8,13.1
1021,"Cumberland, Kentucky",25.8,46.0,2.0,13.3
1022,"Daviess, Kentucky",16.0,38.9,0.7,22.9
1023,"Edmonson, Kentucky",17.6,44.3,2.3,10.3
1024,"Elliott, Kentucky",31.7,41.4,2.8,9.7
1025,"Estill, Kentucky",29.7,43.5,0.8,9.9
1026,"Fayette, Kentucky",15.5,34.6,1.3,43.6
1027,"Fleming, Kentucky",18.2,41.4,1.3,12.9
1028,"Floyd, Kentucky",29.5,42.2,1.5,11.3
1029,"Franklin, Kentucky",10.2,40.9,2.5,29.9
1030,"Fulton, Kentucky",26.9,43.5,7.0,13.4
1031,"Gallatin, Kentucky",14.4,38.8,5.0,11.6
1032,"Garrard, Kentucky",14.7,43.0,0.9,17.6
1033,"Grant, Kentucky",15.7,36.3,1.6,12.9
1034,"Graves, Kentucky",19.6,39.7,1.9,17.4
1035,"Grayson, Kentucky",22.5,40.3,1.2,10.5
1036,"Green, Kentucky",19.0,44.6,1.3,13.2
1037,"Greenup, Kentucky",16.2,43.4,3.0,17.1
1038,"Hancock, Kentucky",11.4,39.9,0.0,11.4
1039,"Hardin, Kentucky",13.1,37.0,1.2,22.0
1040,"Harlan, Kentucky",35.1,41.3,2.0,10.8
1041,"Harrison, Kentucky",18.6,42.2,2.2,14.6
1042,"Hart, Kentucky",24.2,40.5,0.1,11.4
1043,"Henderson, Kentucky",17.1,41.2,1.5,18.2
1044,"Henry, Kentucky",15.9,41.4,1.8,13.1
1045,"Hickman, Kentucky",16.8,48.0,0.8,15.8
1046,"Hopkins, Kentucky",18.6,41.8,3.5,16.5
1047,"Jackson, Kentucky",31.5,42.2,1.0,13.8
1048,"Jefferson, Kentucky",13.4,38.3,1.5,33.4
1049,"Jessamine, Kentucky",15.4,37.8,0.6,29.5
1050,"Johnson, Kentucky",24.2,41.8,3.2,16.3
1051,"Kenton, Kentucky",10.7,37.1,1.5,31.7
1052,"Knott, Kentucky",31.0,43.2,1.0,14.9
1053,"Knox, Kentucky",34.2,40.0,2.3,14.2
1054,"Larue, Kentucky",12.7,40.9,2.6,12.4
1055,"Laurel, Kentucky",23.1,40.0,0.8,14.4
1056,"Lawrence, Kentucky",26.4,41.2,1.5,9.8
1057,"Lee, Kentucky",37.2,43.6,0.5,8.3
1058,"Leslie, Kentucky",35.5,42.3,1.4,8.7
1059,"Letcher, Kentucky",32.0,42.4,1.6,12.1
1060,"Lewis, Kentucky",27.1,42.8,1.0,9.1
1061,"Lincoln, Kentucky",20.1,41.3,1.6,13.0
1062,"Livingston, Kentucky",14.9,46.0,1.7,11.8
1063,"Logan, Kentucky",18.4,40.7,2.8,16.4
1064,"Lyon, Kentucky",12.8,50.6,5.1,16.9
1065,"McCracken, Kentucky",15.9,42.2,2.2,24.2
1066,"McCreary, Kentucky",34.1,39.4,1.2,7.2
1067,"McLean, Kentucky",16.3,42.4,0.5,13.5
1068,"Madison, Kentucky",19.3,34.1,1.3,30.8
1069,"Magoffin, Kentucky",30.1,42.3,0.3,9.5
1070,"Marion, Kentucky",21.0,39.3,1.4,12.6
1071,"Marshall, Kentucky",11.6,44.9,0.4,19.2
1072,"Martin, Kentucky",22.6,39.5,1.9,11.7
1073,"Mason, Kentucky",18.1,40.6,3.4,19.5
1074,"Meade, Kentucky",11.8,38.6,3.5,19.4
1075,"Menifee, Kentucky",23.7,44.6,6.0,11.2
1076,"Mercer, Kentucky",15.7,43.2,1.9,18.5
1077,"Metcalfe, Kentucky",22.5,43.9,0.2,13.0
1078,"Monroe, Kentucky",24.6,41.4,0.4,14.4
1079,"Montgomery, Kentucky",18.3,39.7,3.9,15.7
1080,"Morgan, Kentucky",24.9,42.0,1.6,12.5
1081,"Muhlenberg, Kentucky",16.8,42.4,2.8,12.6
1082,"Nelson, Kentucky",9.0,39.8,0.7,18.0
1083,"Nicholas, Kentucky",24.3,41.1,1.1,8.9
1084,"Ohio, Kentucky",17.1,40.3,0.2,13.6
1085,"Oldham, Kentucky",5.9,38.9,0.5,42.4
1086,"Owen, Kentucky",18.5,42.8,3.7,10.9
1087,"Owsley, Kentucky",36.1,43.4,1.2,16.2
1088,"Pendleton, Kentucky",18.6,40.6,0.6,13.2
1089,"Perry, Kentucky",28.2,41.2,2.6,14.4
1090,"Pike, Kentucky",25.7,42.5,2.1,13.0
1091,"Powell, Kentucky",23.6,38.6,4.2,15.9
1092,"Pulaski, Kentucky",23.5,42.0,1.2,16.5
1093,"Robertson, Kentucky",22.3,42.9,1.6,16.3
1094,"Rockcastle, Kentucky",22.6,42.7,0.4,11.4
1095,"Rowan, Kentucky",25.9,30.6,1.6,25.1
1096,"Russell, Kentucky",23.0,43.3,0.8,14.7
1097,"Scott, Kentucky",10.1,36.2,1.3,28.4
1098,"Shelby, Kentucky",9.9,39.4,0.8,24.9
1099,"Simpson, Kentucky",14.7,39.0,3.4,14.2
1100,"Spencer, Kentucky",9.1,42.1,0.2,20.3
1101,"Taylor, Kentucky",18.9,37.6,0.5,19.6
1102,"Todd, Kentucky",20.8,37.8,0.3,13.2
1103,"Trigg, Kentucky",13.4,46.2,4.4,16.6
1104,"Trimble, Kentucky",17.1,43.4,1.6,14.1
1105,"Union, Kentucky",13.2,38.1,2.8,11.1
1106,"Warren, Kentucky",16.1,32.8,1.1,32.2
1107,"Washington, Kentucky",13.9,40.7,1.9,18.8
1108,"Wayne, Kentucky",22.9,42.5,2.2,12.3
1109,"Webster, Kentucky",21.0,41.0,1.6,10.0
1110,"Whitley, Kentucky",24.4,36.6,1.9,20.4
1111,"Wolfe, Kentucky",35.0,41.8,0.4,8.7
1112,"Woodford, Kentucky",11.7,42.5,2.1,33.8
1113,"Acadia, Louisiana",23.0,36.7,1.7,13.3
1114,"Allen, Louisiana",16.9,38.2,2.2,11.3
1115,"Ascension, Louisiana",11.2,35.7,1.4,26.4
1116,"Assumption, Louisiana",20.5,40.9,2.3,9.6
1117,"Avoyelles, Louisiana",25.1,38.2,1.8,12.3
1118,"Beauregard, Louisiana",16.6,37.4,2.1,17.8
1119,"Bienville, Louisiana",28.1,41.9,2.0,12.8
1120,"Bossier, Louisiana",16.4,35.3,1.9,25.2
1121,"Caddo, Louisiana",21.6,37.7,2.1,23.5
1122,"Calcasieu, Louisiana",16.0,36.1,1.6,22.3
1123,"Caldwell, Louisiana",23.8,39.8,2.2,13.8
1124,"Cameron, Louisiana",10.9,44.1,0.7,12.7
1125,"Catahoula, Louisiana",22.9,38.1,0.6,13.8
1126,"Claiborne, Louisiana",35.2,42.0,1.4,12.8
1127,"Concordia, Louisiana",24.5,37.7,1.3,14.1
1128,"De Soto, Louisiana",21.1,39.3,0.9,14.8
1129,"East Baton Rouge, Louisiana",16.8,34.0,2.1,34.9
1130,"East Carroll, Louisiana",42.4,33.9,1.0,8.9
1131,"East Feliciana, Louisiana",16.6,42.9,1.2,12.7
1132,"Evangeline, Louisiana",27.9,35.7,2.0,11.6
1133,"Franklin, Louisiana",26.8,38.4,1.1,12.0
1134,"Grant, Louisiana",20.6,38.1,1.2,8.5
1135,"Iberia, Louisiana",20.5,36.5,1.3,13.6
1136,"Iberville, Louisiana",18.8,38.4,1.9,13.9
1137,"Jackson, Louisiana",21.9,40.9,3.1,14.0
1138,"Jefferson, Louisiana",14.4,39.4,1.6,26.8
1139,"Jefferson Davis, Louisiana",20.6,37.8,0.8,16.9
1140,"Lafayette, Louisiana",16.9,35.2,2.0,33.0
1141,"Lafourche, Louisiana",15.7,37.8,1.2,16.9
1142,"LaSalle, Louisiana",20.5,38.8,2.6,13.6
1143,"Lincoln, Louisiana",28.8,28.3,1.6,35.6
1144,"Livingston, Louisiana",12.2,36.6,1.8,19.7
1145,"Madison, Louisiana",34.2,35.2,1.8,12.8
1146,"Morehouse, Louisiana",30.3,39.9,1.5,13.0
1147,"Natchitoches, Louisiana",32.1,33.7,3.6,19.0
1148,"Orleans, Louisiana",23.8,36.8,2.1,37.6
1149,"Ouachita, Louisiana",23.9,35.7,1.5,24.2
1150,"Plaquemines, Louisiana",18.7,36.5,1.2,19.1
1151,"Pointe Coupee, Louisiana",24.3,43.1,0.3,14.9
1152,"Rapides, Louisiana",18.8,37.4,1.6,20.9
1153,"Red River, Louisiana",24.9,39.4,0.6,13.9
1154,"Richland, Louisiana",28.5,38.8,1.8,13.2
1155,"Sabine, Louisiana",20.4,41.1,2.5,13.3
1156,"St. Bernard, Louisiana",21.8,34.2,2.1,11.6
1157,"St. Charles, Louisiana",11.9,37.9,0.7,25.3
1158,"St. Helena, Louisiana",19.2,39.4,0.7,16.7
1159,"St. James, Louisiana",18.1,39.2,1.5,16.3
1160,"St. John the Baptist, Louisiana",18.3,36.8,1.5,15.9
1161,"St. Landry, Louisiana",27.6,36.7,1.5,14.8
1162,"St. Martin, Louisiana",16.9,37.7,1.1,14.5
1163,"St. Mary, Louisiana",19.7,39.0,2.4,10.2
1164,"St. Tammany, Louisiana",11.4,40.2,2.4,33.8
1165,"Tangipahoa, Louisiana",19.7,35.3,1.1,20.0
1166,"Tensas, Louisiana",30.3,43.4,8.2,11.4
1167,"Terrebonne, Louisiana",20.0,35.8,2.5,15.6
1168,"Union, Louisiana",18.5,42.1,2.1,17.2
1169,"Vermilion, Louisiana",16.9,38.0,1.1,14.2
1170,"Vernon, Louisiana",16.8,30.4,1.9,17.5
1171,"Washington, Louisiana",23.8,39.4,1.1,11.6
1172,"Webster, Louisiana",28.9,41.4,2.8,15.4
1173,"West Baton Rouge, Louisiana",11.6,36.3,0.7,22.0
1174,"West Carroll, Louisiana",22.4,40.3,2.0,11.7
1175,"West Feliciana, Louisiana",13.4,41.4,1.1,24.2
1176,"Winn, Louisiana",19.1,41.1,1.6,13.9
1177,"Androscoggin, Maine",12.2,41.0,1.6,22.8
1178,"Aroostook, Maine",17.5,48.0,2.9,19.2
1179,"Cumberland, Maine",9.8,42.2,1.3,47.6
1180,"Franklin, Maine",12.3,46.3,3.1,24.8
1181,"Hancock, Maine",11.7,48.8,2.2,34.1
1182,"Kennebec, Maine",12.9,44.4,1.5,28.1
1183,"Knox, Maine",9.1,48.4,2.0,33.5
1184,"Lincoln, Maine",12.7,51.0,2.0,33.5
1185,"Oxford, Maine",13.5,47.0,2.4,19.2
1186,"Penobscot, Maine",14.7,42.0,1.5,27.7
1187,"Piscataquis, Maine",19.1,51.5,4.1,18.4
1188,"Sagadahoc, Maine",10.0,46.9,0.3,36.4
1189,"Somerset, Maine",19.8,46.4,2.2,16.5
1190,"Waldo, Maine",14.3,46.2,2.1,31.4
1191,"Washington, Maine",19.6,48.1,3.0,22.0
1192,"York, Maine",7.9,45.2,1.7,32.5
1193,"Allegany, Maryland",16.6,41.7,2.5,18.9
1194,"Anne Arundel, Maryland",5.5,38.3,1.5,41.7
1195,"Baltimore, Maryland",8.7,39.4,1.6,39.4
1196,"Calvert, Maryland",4.6,40.7,1.4,32.4
1197,"Caroline, Maryland",12.1,39.7,1.6,18.4
1198,"Carroll, Maryland",5.5,42.4,0.7,36.4
1199,"Cecil, Maryland",8.4,40.8,2.7,23.9
1200,"Charles, Maryland",6.1,38.4,1.5,28.9
1201,"Dorchester, Maryland",15.0,44.6,1.7,21.2
1202,"Frederick, Maryland",6.7,39.1,1.1,41.4
1203,"Garrett, Maryland",11.6,46.2,3.2,20.9
1204,"Harford, Maryland",7.6,40.9,1.4,36.7
1205,"Howard, Maryland",5.0,38.8,0.9,62.6
1206,"Kent, Maryland",10.4,48.1,2.5,35.1
1207,"Montgomery, Maryland",6.7,39.2,1.1,58.9
1208,"Prince George's, Maryland",7.7,37.1,1.7,33.1
1209,"Queen Anne's, Maryland",6.0,44.4,2.2,36.5
1210,"St. Mary's, Maryland",7.3,36.7,1.6,31.9
1211,"Somerset, Maryland",22.8,36.2,3.5,14.4
1212,"Talbot, Maryland",9.2,50.5,1.8,40.6
1213,"Washington, Maryland",12.3,40.5,1.9,21.9
1214,"Wicomico, Maryland",13.2,36.1,1.2,27.2
1215,"Worcester, Maryland",8.9,50.4,3.4,29.0
1216,"Baltimore, Maryland",20.0,35.4,4.0,31.9
1217,"Barnstable, Massachusetts",6.8,53.3,1.8,43.4
1218,"Berkshire, Massachusetts",11.3,47.1,1.3,33.6
1219,"Bristol, Massachusetts",11.9,41.0,1.0,28.7
1220,"Dukes, Massachusetts",6.5,47.1,0.7,44.9
1221,"Essex, Massachusetts",11.1,40.9,0.9,39.9
1222,"Franklin, Massachusetts",10.1,46.7,1.0,37.3
1223,"Hampden, Massachusetts",16.4,39.0,1.2,27.1
1224,"Hampshire, Massachusetts",11.6,36.5,1.0,48.3
1225,"Middlesex, Massachusetts",8.0,38.5,0.6,56.3
1226,"Nantucket, Massachusetts",5.6,40.3,2.0,52.8
1227,"Norfolk, Massachusetts",7.4,40.9,0.8,53.6
1228,"Plymouth, Massachusetts",8.3,42.7,0.9,37.6
1229,"Suffolk, Massachusetts",18.2,32.8,1.1,46.1
1230,"Worcester, Massachusetts",10.5,40.2,1.3,36.4
1231,"Alcona, Michigan",16.3,58.2,3.3,16.9
1232,"Alger, Michigan",12.2,49.5,2.4,17.4
1233,"Allegan, Michigan",9.5,39.8,1.3,22.6
1234,"Alpena, Michigan",15.6,48.1,2.8,18.0
1235,"Antrim, Michigan",11.2,51.3,3.4,28.8
1236,"Arenac, Michigan",15.6,50.0,2.2,12.6
1237,"Baraga, Michigan",16.1,45.5,1.0,15.8
1238,"Barry, Michigan",8.0,42.5,0.5,21.1
1239,"Bay, Michigan",14.8,43.4,1.3,19.3
1240,"Benzie, Michigan",9.3,50.2,2.8,30.3
1241,"Berrien, Michigan",14.7,42.1,1.9,27.8
1242,"Branch, Michigan",13.0,41.2,1.6,14.4
1243,"Calhoun, Michigan",15.0,39.8,1.4,21.0
1244,"Cass, Michigan",11.4,45.2,3.3,19.2
1245,"Charlevoix, Michigan",11.0,48.6,1.7,31.1
1246,"Cheboygan, Michigan",14.3,51.1,2.8,20.7
1247,"Chippewa, Michigan",17.2,40.5,1.9,21.2
1248,"Clare, Michigan",19.9,47.2,3.7,12.6
1249,"Clinton, Michigan",8.7,40.6,0.7,32.1
1250,"Crawford, Michigan",17.1,50.8,1.6,19.4
1251,"Delta, Michigan",13.2,47.4,1.5,21.0
1252,"Dickinson, Michigan",12.4,46.7,2.0,25.7
1253,"Eaton, Michigan",8.9,40.9,1.1,27.8
1254,"Emmet, Michigan",10.2,45.5,1.7,33.4
1255,"Genesee, Michigan",17.6,40.5,1.5,21.2
1256,"Gladwin, Michigan",17.2,50.1,2.5,13.5
1257,"Gogebic, Michigan",17.9,49.3,2.4,19.4
1258,"Grand Traverse, Michigan",9.1,42.8,0.7,36.0
1259,"Gratiot, Michigan",16.3,39.5,1.9,15.4
1260,"Hillsdale, Michigan",14.4,42.3,1.6,17.3
1261,"Houghton, Michigan",19.3,33.0,3.7,32.6
1262,"Huron, Michigan",12.6,49.2,2.6,16.0
1263,"Ingham, Michigan",17.6,32.0,1.5,38.9
1264,"Ionia, Michigan",11.3,38.7,1.1,16.4
1265,"Iosco, Michigan",14.1,52.9,3.6,15.9
1266,"Iron, Michigan",14.0,54.3,3.0,18.5
1267,"Isabella, Michigan",23.9,28.1,2.2,29.1
1268,"Jackson, Michigan",13.3,41.2,1.4,22.2
1269,"Kalamazoo, Michigan",14.1,34.4,0.9,38.8
1270,"Kalkaska, Michigan",15.5,44.4,1.4,11.9
1271,"Kent, Michigan",10.6,35.3,0.6,35.7
1272,"Keweenaw, Michigan",10.6,57.5,2.5,32.0
1273,"Lake, Michigan",20.3,53.2,4.0,11.9
1274,"Lapeer, Michigan",10.6,44.1,1.2,18.3
1275,"Leelanau, Michigan",5.9,54.1,1.4,44.7
1276,"Lenawee, Michigan",10.8,41.9,1.0,21.0
1277,"Livingston, Michigan",5.3,43.5,0.8,35.4
1278,"Luce, Michigan",16.9,44.7,0.8,18.4
1279,"Mackinac, Michigan",16.9,52.8,2.8,23.3
1280,"Macomb, Michigan",10.3,40.9,1.0,24.9
1281,"Manistee, Michigan",11.3,49.3,6.1,20.3
1282,"Marquette, Michigan",15.2,39.1,1.6,32.9
1283,"Mason, Michigan",13.9,46.2,1.9,23.1
1284,"Mecosta, Michigan",20.1,36.9,1.1,22.7
1285,"Menominee, Michigan",13.3,48.8,0.9,16.3
1286,"Midland, Michigan",10.9,41.8,1.3,35.2
1287,"Missaukee, Michigan",12.8,43.5,1.6,14.0
1288,"Monroe, Michigan",11.0,42.6,1.7,20.5
1289,"Montcalm, Michigan",13.7,40.7,2.1,13.3
1290,"Montmorency, Michigan",14.4,56.1,4.6,13.7
1291,"Muskegon, Michigan",14.4,39.3,1.4,19.7
1292,"Newaygo, Michigan",15.0,42.4,1.7,16.6
1293,"Oakland, Michigan",8.5,40.9,1.1,47.2
1294,"Oceana, Michigan",12.9,43.2,0.8,19.5
1295,"Ogemaw, Michigan",16.6,50.4,3.0,12.2
1296,"Ontonagon, Michigan",12.9,58.6,2.0,16.5
1297,"Osceola, Michigan",16.8,43.8,1.1,14.2
1298,"Oscoda, Michigan",16.0,51.8,4.7,10.6
1299,"Otsego, Michigan",12.8,44.9,2.2,23.6
1300,"Ottawa, Michigan",8.2,35.2,0.7,34.1
1301,"Presque Isle, Michigan",13.0,55.0,2.7,17.9
1302,"Roscommon, Michigan",15.2,56.2,3.8,15.5
1303,"Saginaw, Michigan",17.3,40.9,1.5,20.8
1304,"St. Clair, Michigan",12.3,43.8,1.7,18.6
1305,"St. Joseph, Michigan",13.2,39.6,2.2,16.2
1306,"Sanilac, Michigan",14.5,45.2,1.9,14.2
1307,"Schoolcraft, Michigan",15.8,52.1,2.1,15.6
1308,"Shiawassee, Michigan",10.6,42.4,2.0,17.0
1309,"Tuscola, Michigan",13.1,44.6,2.0,13.5
1310,"Van Buren, Michigan",13.0,41.6,1.2,21.7
1311,"Washtenaw, Michigan",13.0,33.6,1.2,55.9
1312,"Wayne, Michigan",20.5,37.9,2.4,23.9
1313,"Wexford, Michigan",14.8,41.6,1.7,18.2
1314,"Aitkin, Minnesota",12.8,55.5,1.8,18.1
1315,"Anoka, Minnesota",5.7,38.5,0.7,30.5
1316,"Becker, Minnesota",10.9,41.9,0.6,25.0
1317,"Beltrami, Minnesota",17.7,34.0,1.0,29.2
1318,"Benton, Minnesota",11.5,36.0,0.4,23.6
1319,"Big Stone, Minnesota",12.1,49.0,1.5,15.4
1320,"Blue Earth, Minnesota",16.2,31.0,1.4,34.8
1321,"Brown, Minnesota",8.1,42.3,1.2,22.2
1322,"Carlton, Minnesota",8.9,41.0,1.8,22.1
1323,"Carver, Minnesota",4.7,37.9,1.1,48.9
1324,"Cass, Minnesota",12.8,48.9,1.6,23.2
1325,"Chippewa, Minnesota",12.2,41.6,0.8,19.0
1326,"Chisago, Minnesota",5.8,41.3,1.2,21.5
1327,"Clay, Minnesota",12.6,32.6,0.5,34.2
1328,"Clearwater, Minnesota",16.0,42.3,0.8,17.1
1329,"Cook, Minnesota",12.7,52.6,4.0,40.4
1330,"Cottonwood, Minnesota",10.7,42.9,1.2,20.0
1331,"Crow Wing, Minnesota",10.9,44.5,1.8,24.7
1332,"Dakota, Minnesota",6.1,37.9,0.6,42.2
1333,"Dodge, Minnesota",5.9,38.4,0.9,25.7
1334,"Douglas, Minnesota",8.2,44.2,1.3,26.0
1335,"Faribault, Minnesota",12.2,45.8,1.5,18.6
1336,"Fillmore, Minnesota",9.4,42.3,1.0,22.2
1337,"Freeborn, Minnesota",11.0,44.0,1.1,17.1
1338,"Goodhue, Minnesota",10.1,42.2,1.1,26.0
1339,"Grant, Minnesota",11.0,44.9,1.4,18.8
1340,"Hennepin, Minnesota",9.8,36.5,0.9,50.1
1341,"Houston, Minnesota",8.5,45.3,0.4,24.8
1342,"Hubbard, Minnesota",10.4,48.7,1.3,27.4
1343,"Isanti, Minnesota",7.3,40.0,0.3,18.5
1344,"Itasca, Minnesota",12.8,46.3,1.9,23.1
1345,"Jackson, Minnesota",7.7,44.8,2.9,22.6
1346,"Kanabec, Minnesota",10.3,45.0,0.6,14.7
1347,"Kandiyohi, Minnesota",10.2,39.3,0.8,23.3
1348,"Kittson, Minnesota",9.6,48.1,1.3,25.9
1349,"Koochiching, Minnesota",14.1,49.5,4.7,15.5
1350,"Lac qui Parle, Minnesota",9.5,50.4,1.5,18.8
1351,"Lake, Minnesota",9.0,50.8,0.8,28.8
1352,"Lake of the Woods, Minnesota",8.8,50.9,1.8,16.7
1353,"Le Sueur, Minnesota",8.3,41.0,1.1,23.0
1354,"Lincoln, Minnesota",13.5,45.4,1.3,19.3
1355,"Lyon, Minnesota",13.7,35.8,1.8,26.1
1356,"McLeod, Minnesota",8.4,40.7,0.9,17.6
1357,"Mahnomen, Minnesota",19.2,35.7,0.9,13.2
1358,"Marshall, Minnesota",8.1,43.7,1.1,19.1
1359,"Martin, Minnesota",13.9,45.3,1.6,20.5
1360,"Meeker, Minnesota",7.3,42.2,0.9,19.5
1361,"Mille Lacs, Minnesota",12.4,40.5,1.2,14.7
1362,"Morrison, Minnesota",10.6,41.7,0.9,17.3
1363,"Mower, Minnesota",12.4,38.8,1.7,22.2
1364,"Murray, Minnesota",8.6,48.1,1.5,20.7
1365,"Nicollet, Minnesota",9.8,36.3,0.3,33.8
1366,"Nobles, Minnesota",12.6,35.7,2.2,15.3
1367,"Norman, Minnesota",10.6,43.8,1.5,19.1
1368,"Olmsted, Minnesota",8.4,37.2,1.2,44.9
1369,"Otter Tail, Minnesota",10.5,46.8,1.6,24.9
1370,"Pennington, Minnesota",10.5,39.6,0.6,19.3
1371,"Pine, Minnesota",11.6,45.0,1.2,14.9
1372,"Pipestone, Minnesota",11.3,42.1,1.5,21.3
1373,"Polk, Minnesota",11.4,38.7,1.5,25.3
1374,"Pope, Minnesota",9.0,45.8,1.4,22.9
1375,"Ramsey, Minnesota",12.4,35.0,0.8,42.3
1376,"Red Lake, Minnesota",11.1,42.7,1.1,16.2
1377,"Redwood, Minnesota",10.7,42.6,2.1,19.1
1378,"Renville, Minnesota",11.0,43.8,1.1,15.2
1379,"Rice, Minnesota",9.5,36.5,0.3,28.3
1380,"Rock, Minnesota",9.2,40.8,0.4,23.8
1381,"Roseau, Minnesota",7.9,41.6,1.5,20.3
1382,"St. Louis, Minnesota",13.8,41.1,1.5,29.3
1383,"Scott, Minnesota",5.4,36.5,0.8,39.9
1384,"Sherburne, Minnesota",6.2,36.0,0.8,26.6
1385,"Sibley, Minnesota",7.9,41.7,0.7,16.4
1386,"Stearns, Minnesota",11.4,34.4,1.1,27.5
1387,"Steele, Minnesota",9.9,39.0,1.0,26.0
1388,"Stevens, Minnesota",12.3,33.1,0.6,30.5
1389,"Swift, Minnesota",13.1,43.9,2.0,19.6
1390,"Todd, Minnesota",11.9,43.9,1.1,15.1
1391,"Traverse, Minnesota",11.0,47.5,1.5,17.5
1392,"Wabasha, Minnesota",8.1,45.2,1.1,23.7
1393,"Wadena, Minnesota",14.3,41.5,0.8,13.8
1394,"Waseca, Minnesota",9.4,40.5,1.0,21.4
1395,"Washington, Minnesota",4.7,39.5,0.8,44.3
1396,"Watonwan, Minnesota",12.9,39.9,1.5,15.5
1397,"Wilkin, Minnesota",9.0,43.3,0.2,23.8
1398,"Winona, Minnesota",13.2,35.2,1.0,30.1
1399,"Wright, Minnesota",5.9,37.0,0.5,29.6
1400,"Yellow Medicine, Minnesota",12.8,42.4,0.5,17.2
1401,"Adams, Mississippi",30.3,41.4,5.0,17.4
